Date,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2025-10-13T09:16:01.445Z,""Included"",""claude-4.5-sonnet-thinking"",""No"",""0"",""4879"",""12326"",""2233"",""19438"",""0.05"""
"2025-10-13T09:16:00.150Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""0"",""0"",""0"",""0"",""0"",""0.00"""
"2025-10-13T09:15:45.043Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""409"",""2121"",""11148"",""1423"",""15101"",""0.03"""
"2025-10-13T09:15:42.960Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""0"",""0"",""0"",""0"",""0"",""0.00"""
"2025-10-13T09:15:34.717Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""1646"",""1131"",""10841"",""617"",""14235"",""0.02"""
"2025-10-13T09:12:02.209Z,""Included"",""claude-4.5-sonnet-thinking"",""No"",""0"",""1491"",""550610"",""400"",""552501"",""0.42"""
"2025-10-13T09:11:36.054Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""2829"",""562"",""547105"",""266"",""550762"",""0.43"""
"2025-10-13T09:11:09.216Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""537603"",""3499"",""10835"",""621"",""552558"",""4.88"""
"2025-10-13T08:59:03.897Z,""Included"",""claude-4.5-sonnet-thinking"",""No"",""0"",""1225"",""546969"",""448"",""548642"",""0.41"""
"2025-10-13T08:58:39.682Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""862"",""674"",""545425"",""165"",""547126"",""0.41"""
"2025-10-13T08:58:09.851Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""2584"",""794"",""542841"",""357"",""546576"",""0.43"""
"2025-10-13T08:57:46.764Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""27891"",""3264"",""516274"",""785"",""548214"",""0.66"""
"2025-10-13T08:55:27.807Z,""Included"",""claude-4.5-sonnet-thinking"",""No"",""0"",""21323"",""523920"",""743"",""545986"",""0.54"""
"2025-10-13T08:55:10.814Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""0"",""20107"",""523118"",""148"",""543373"",""0.53"""
"2025-10-13T08:54:49.215Z,""Errored, Not Charged"",""claude-4.5-sonnet-thinking"",""Yes"",""0"",""19554"",""523118"",""127"",""542799"",""0.52"""
"2025-10-13T08:54:27.465Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""0"",""19074"",""523118"",""408"",""542600"",""0.52"""
"2025-10-13T08:54:07.613Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""0"",""18382"",""523118"",""323"",""541823"",""0.52"""
"2025-10-13T08:53:44.658Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""0"",""17682"",""523118"",""319"",""541119"",""0.51"""
"2025-10-13T08:53:23.990Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""0"",""16940"",""523118"",""353"",""540411"",""0.51"""
"2025-10-13T08:53:05.769Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""0"",""16079"",""523118"",""399"",""539596"",""0.50"""
"2025-10-13T08:52:41.760Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""0"",""15327"",""523118"",""346"",""538791"",""0.50"""
"2025-10-13T08:52:25.645Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""0"",""14628"",""523118"",""326"",""538072"",""0.49"""
"2025-10-13T08:52:09.820Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""0"",""14136"",""523118"",""163"",""537417"",""0.48"""
"2025-10-13T08:51:39.610Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""0"",""13985"",""523118"",""128"",""537231"",""0.48"""
"2025-10-13T08:51:16.759Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""0"",""11677"",""523118"",""1342"",""536137"",""0.50"""
"2025-10-13T08:50:55.221Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""0"",""10730"",""523118"",""441"",""534289"",""0.47"""
"2025-10-13T08:50:31.404Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""0"",""9762"",""523118"",""487"",""533367"",""0.46"""
"2025-10-13T08:50:00.487Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""0"",""8715"",""523118"",""471"",""532304"",""0.45"""
"2025-10-13T08:49:33.116Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""0"",""8113"",""523118"",""303"",""531534"",""0.44"""
"2025-10-13T08:49:13.584Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""0"",""6691"",""523118"",""755"",""530564"",""0.45"""
"2025-10-13T08:48:51.898Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""0"",""6052"",""523118"",""290"",""529460"",""0.43"""
"2025-10-13T08:48:27.319Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""0"",""5079"",""523118"",""526"",""528723"",""0.43"""
"2025-10-13T08:48:06.151Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""0"",""4437"",""523118"",""267"",""527822"",""0.42"""
"2025-10-13T08:47:48.545Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""0"",""3894"",""523118"",""274"",""527286"",""0.41"""
"2025-10-13T08:47:30.133Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""0"",""3375"",""523118"",""214"",""526707"",""0.41"""
"2025-10-13T08:47:08.979Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""0"",""2902"",""523118"",""224"",""526244"",""0.40"""
"2025-10-13T08:46:46.702Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""0"",""1991"",""523118"",""491"",""525600"",""0.40"""
"2025-10-13T08:46:22.508Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""5587"",""1032"",""517531"",""540"",""524690"",""0.44"""
"2025-10-13T08:45:39.684Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""0"",""5465"",""517531"",""684"",""523680"",""0.43"""
"2025-10-13T08:45:23.863Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""2581"",""358"",""514950"",""2475"",""520364"",""0.46"""
"2025-10-13T08:45:07.685Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""6892"",""3564"",""509401"",""269"",""520126"",""0.45"""
"2025-10-13T08:40:55.735Z,""Included"",""claude-4.5-sonnet-thinking"",""No"",""0"",""2444"",""513950"",""718"",""517112"",""0.40"""
"2025-10-13T08:40:35.230Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""0"",""1572"",""513192"",""214"",""514978"",""0.39"""
"2025-10-13T08:40:16.508Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""1058"",""779"",""512134"",""272"",""514243"",""0.39"""
"2025-10-13T08:39:55.206Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""1935"",""943"",""510199"",""489"",""513566"",""0.40"""
"2025-10-13T08:39:38.866Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""0"",""1784"",""510199"",""603"",""512586"",""0.40"""
"2025-10-13T08:39:23.913Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""2141"",""711"",""508058"",""173"",""511083"",""0.39"""
"2025-10-13T08:39:04.546Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""7379"",""2718"",""501899"",""440"",""512436"",""0.45"""
"2025-10-13T08:36:21.647Z,""Included"",""claude-4.5-sonnet-thinking"",""No"",""6689"",""636"",""501644"",""633"",""509602"",""0.44"""
"2025-10-13T08:35:56.884Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""0"",""6613"",""500934"",""188"",""507735"",""0.41"""
"2025-10-13T08:35:35.451Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""0"",""5711"",""500934"",""507"",""507152"",""0.42"""
"2025-10-13T08:35:04.494Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""0"",""4649"",""500934"",""461"",""506044"",""0.41"""
"2025-10-13T08:34:31.662Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""0"",""2589"",""500934"",""1067"",""504590"",""0.41"""
"2025-10-13T08:34:05.208Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""255"",""1136"",""500679"",""771"",""502841"",""0.39"""
"2025-10-13T08:33:44.677Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""491177"",""940"",""10688"",""636"",""503441"",""4.45"""
"2025-10-13T08:26:26.216Z,""Included"",""claude-4.5-sonnet-thinking"",""No"",""0"",""6562"",""495882"",""836"",""503280"",""0.42"""
"2025-10-13T08:26:03.996Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""0"",""5631"",""495111"",""125"",""500867"",""0.40"""
"2025-10-13T08:25:43.782Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""0"",""4747"",""495111"",""370"",""500228"",""0.40"""
"2025-10-13T08:25:30.181Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""0"",""4002"",""495111"",""290"",""499403"",""0.39"""
"2025-10-13T08:25:15.301Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""0"",""3645"",""495111"",""140"",""498896"",""0.39"""
"2025-10-13T08:24:54.809Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""0"",""3444"",""495111"",""147"",""498702"",""0.39"""
"2025-10-13T08:24:29.537Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""4114"",""2412"",""490997"",""507"",""498030"",""0.42"""
"2025-10-13T08:23:57.461Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""0"",""4031"",""490997"",""1132"",""496160"",""0.41"""
"2025-10-13T08:23:32.315Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""0"",""2630"",""490997"",""740"",""494367"",""0.39"""
"2025-10-13T08:23:12.654Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""1361"",""1120"",""489636"",""770"",""492887"",""0.39"""
"2025-10-13T08:22:52.395Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""433"",""986"",""489203"",""937"",""491559"",""0.39"""
"2025-10-13T08:22:35.349Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""1533"",""658"",""488343"",""342"",""490876"",""0.38"""
"2025-10-13T08:20:19.140Z,""Included"",""claude-4.5-sonnet-thinking"",""No"",""6608"",""3251"",""483210"",""905"",""493974"",""0.44"""
"2025-10-13T08:17:52.012Z,""Included"",""claude-4.5-sonnet-thinking"",""No"",""0"",""5628"",""483299"",""823"",""489750"",""0.41"""
"2025-10-13T08:17:29.073Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""0"",""4829"",""482568"",""147"",""487544"",""0.39"""
"2025-10-13T08:17:03.476Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""0"",""4180"",""482568"",""315"",""487063"",""0.39"""
"2025-10-13T08:16:39.716Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""0"",""2155"",""482568"",""1038"",""485761"",""0.39"""
"2025-10-13T08:16:22.473Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""0"",""1195"",""482568"",""535"",""484298"",""0.37"""
"2025-10-13T08:16:01.761Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""1067"",""642"",""481501"",""281"",""483491"",""0.37"""
"2025-10-13T08:15:39.184Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""439"",""889"",""481062"",""422"",""482812"",""0.37"""
"2025-10-13T08:15:24.599Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""3956"",""1092"",""478323"",""672"",""484043"",""0.40"""
"2025-10-13T08:10:56.897Z,""Included"",""claude-4.5-sonnet-thinking"",""No"",""0"",""2416"",""479981"",""422"",""482819"",""0.37"""
"2025-10-13T08:10:39.461Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""0"",""1167"",""479233"",""327"",""480727"",""0.36"""
"2025-10-13T08:10:17.811Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""1294"",""542"",""477939"",""324"",""480099"",""0.37"""
"2025-10-13T08:09:51.953Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""833"",""1190"",""477106"",""393"",""479522"",""0.37"""
"2025-10-13T08:09:35.579Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""467604"",""2289"",""10878"",""842"",""481613"",""4.24"""
"2025-10-13T07:58:13.727Z,""Included"",""claude-4.5-sonnet-thinking"",""No"",""747"",""1518"",""475959"",""409"",""478633"",""0.37"""
"2025-10-13T07:57:57.814Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""0"",""613"",""475864"",""876"",""477353"",""0.37"""
"2025-10-13T07:56:36.700Z,""Errored, Not Charged"",""claude-4.5-sonnet-thinking"",""No"",""0"",""1051"",""1266"",""17"",""2334"",""0.000"""
"2025-10-13T07:53:09.716Z,""Included"",""claude-4.5-sonnet-thinking"",""No"",""2706"",""1308"",""472748"",""357"",""477119"",""0.38"""
"2025-10-13T07:52:23.577Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""462598"",""2521"",""10693"",""1536"",""477348"",""4.22"""
"2025-10-13T07:40:14.398Z,""Included"",""claude-4.5-sonnet-thinking"",""No"",""0"",""2549"",""470590"",""550"",""473689"",""0.37"""
"2025-10-13T07:39:53.454Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""0"",""1904"",""469876"",""167"",""471947"",""0.36"""
"2025-10-13T07:39:36.222Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""2695"",""744"",""467181"",""635"",""471255"",""0.38"""
"2025-10-13T07:39:21.225Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""457679"",""3524"",""10836"",""633"",""472672"",""4.16"""
"2025-10-13T07:33:26.628Z,""Included"",""claude-4.5-sonnet-thinking"",""No"",""0"",""3606"",""465285"",""893"",""469784"",""0.38"""
"2025-10-13T07:33:00.410Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""1531"",""2217"",""462958"",""276"",""466982"",""0.37"""
"2025-10-13T07:32:29.684Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""453456"",""2561"",""10883"",""2004"",""468904"",""4.15"""
"2025-10-13T07:09:38.471Z,""Errored, Not Charged"",""claude-4.5-sonnet-thinking"",""Yes"",""0"",""1293"",""461706"",""261"",""463260"",""0.35"""
"2025-10-13T07:09:23.666Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""0"",""1113"",""461706"",""121"",""462940"",""0.34"""
"2025-10-13T07:09:07.126Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""918"",""402"",""460788"",""398"",""462506"",""0.35"""
"2025-10-13T07:08:54.236Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""2619"",""1930"",""459511"",""263"",""464323"",""0.37"""
"2025-10-13T07:07:39.777Z,""Included"",""claude-4.5-sonnet-thinking"",""No"",""1046"",""1827"",""458813"",""391"",""462077"",""0.36"""
"2025-10-13T07:07:20.964Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""3085"",""1698"",""456394"",""1222"",""462399"",""0.39"""
"2025-10-13T07:05:19.301Z,""Included"",""claude-4.5-sonnet-thinking"",""No"",""0"",""2707"",""456420"",""939"",""460066"",""0.37"""
"2025-10-13T07:04:58.436Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""594"",""1842"",""455084"",""214"",""457734"",""0.35"""
"2025-10-13T07:04:37.431Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""445582"",""1211"",""10734"",""1345"",""458872"",""4.06"""
"2025-10-13T06:55:41.862Z,""Included"",""claude-4.5-sonnet-thinking"",""No"",""444781"",""1374"",""11401"",""680"",""458236"",""4.03"""
"2025-10-13T06:45:45.824Z,""Included"",""claude-4.5-sonnet-thinking"",""No"",""0"",""4591"",""451160"",""591"",""456342"",""0.37"""
"2025-10-13T06:45:18.446Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""0"",""3851"",""450423"",""133"",""454407"",""0.36"""
"2025-10-13T06:45:05.426Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""0"",""1529"",""450423"",""1058"",""453010"",""0.36"""
"2025-10-13T06:44:43.340Z,""Errored, Not Charged"",""claude-4.5-sonnet-thinking"",""Yes"",""6283"",""1224"",""444140"",""161"",""451808"",""0.39"""
"2025-10-13T06:44:12.267Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""0"",""6224"",""444140"",""1053"",""451417"",""0.39"""
"2025-10-13T06:43:58.941Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""0"",""4126"",""444140"",""1096"",""449362"",""0.38"""
"2025-10-13T06:43:47.028Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""0"",""3237"",""444140"",""152"",""447529"",""0.35"""
"2025-10-13T06:43:21.793Z,""Errored, Not Charged"",""claude-4.5-sonnet-thinking"",""Yes"",""0"",""2527"",""444140"",""152"",""446819"",""0.34"""
"2025-10-13T06:42:58.664Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""7755"",""1548"",""436385"",""908"",""446596"",""0.42"""
"2025-10-13T06:41:57.714Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""2520"",""7667"",""433865"",""831"",""444883"",""0.41"""
"2025-10-13T06:41:25.570Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""978"",""2446"",""432887"",""3134"",""439445"",""0.42"""
"2025-10-13T06:41:10.918Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""7239"",""1832"",""426971"",""1378"",""437420"",""0.41"""
"2025-10-13T06:37:48.038Z,""Included"",""claude-4.5-sonnet-thinking"",""No"",""0"",""2357"",""431921"",""951"",""435229"",""0.35"""
"2025-10-13T06:37:24.475Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""1052"",""1268"",""430102"",""199"",""432621"",""0.33"""
"2025-10-13T06:37:06.672Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""4454"",""963"",""425648"",""763"",""431828"",""0.37"""
"2025-10-13T06:36:31.218Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""416146"",""5327"",""10883"",""1049"",""433405"",""3.81"""
"2025-10-13T06:24:24.278Z,""Included"",""claude-4.5-sonnet-thinking"",""No"",""0"",""5645"",""421320"",""1024"",""427989"",""0.37"""
"2025-10-13T06:24:11.874Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""0"",""4499"",""420537"",""157"",""425193"",""0.34"""
"2025-10-13T06:23:41.206Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""0"",""4355"",""420537"",""121"",""425013"",""0.34"""
"2025-10-13T06:23:28.919Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""6133"",""224"",""414404"",""1770"",""422531"",""0.40"""
"2025-10-13T06:22:55.611Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""0"",""6055"",""414404"",""187"",""420646"",""0.35"""
"2025-10-13T06:22:33.557Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""0"",""2196"",""414404"",""2264"",""418864"",""0.38"""
"2025-10-13T06:22:18.711Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""2537"",""548"",""411867"",""750"",""415702"",""0.34"""
"2025-10-13T06:22:04.729Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""0"",""2403"",""411867"",""367"",""414637"",""0.32"""
"2025-10-13T06:21:43.562Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""736"",""1831"",""411131"",""142"",""413840"",""0.32"""
"2025-10-13T06:21:30.334Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""1143"",""692"",""409988"",""828"",""412651"",""0.33"""
"2025-10-13T06:21:18.169Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""11543"",""1996"",""399786"",""459"",""413784"",""0.41"""
"2025-10-13T06:17:06.634Z,""Included"",""claude-4.5-sonnet-thinking"",""No"",""0"",""2230"",""409542"",""781"",""412553"",""0.33"""
"2025-10-13T06:16:45.980Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""7721"",""1227"",""401049"",""159"",""410156"",""0.37"""
"2025-10-13T06:16:31.790Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""0"",""7614"",""401049"",""731"",""409394"",""0.36"""
"2025-10-13T06:16:15.030Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""0"",""7333"",""401049"",""184"",""408566"",""0.35"""
"2025-10-13T06:16:03.092Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""0"",""6613"",""401049"",""349"",""408011"",""0.35"""
"2025-10-13T06:15:51.742Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""0"",""6251"",""401049"",""146"",""407446"",""0.34"""
"2025-10-13T06:15:34.619Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""0"",""5997"",""401049"",""164"",""407210"",""0.34"""
"2025-10-13T06:15:20.592Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""0"",""5429"",""401049"",""266"",""406744"",""0.34"""
"2025-10-13T06:15:03.519Z,""Included"",""claude-4.5-sonnet-thinking"",""Yes"",""0"",""5041"",""401049"",""151"",""406241"",""0.33"""
